words,count
14,245
9,354
50,15
7,350
11,288
37,27
20,157
28,73
7,350
29,85
16,194
12,283
14,245
8,371
1,773
10,319
1,773
22,107
6,417
6,417
1,773
4,454
13,253
6,417
17,195
1,773
4,454
7,350
7,350
18,181
26,82
3,524
9,354
16,194
7,350
5,443
3,524
35,44
5,443
6,417
29,85
20,157
6,417
3,524
12,283
10,319
22,107
1,773
3,524
4,454
5,443
25,88
6,417
6,417
8,371
5,443
6,417
14,245
4,454
34,49
2,692
12,283
15,188
8,371
1,773
6,417
2,692
10,319
6,417
4,454
22,107
13,253
4,454
5,443
10,319
5,443
8,371
33,60
2,692
1,773
36,46
8,371
12,283
54,13
1,773
11,288
6,417
10,319
14,245
7,350
11,288
17,195
33,60
26,82
11,288
6,417
11,288
6,417
14,245
3,524
15,188
12,283
6,417
12,283
7,350
25,88
1,773
10,319
5,443
21,127
9,354
14,245
7,350
2,692
23,120
2,692
20,157
40,23
3,524
1,773
6,417
31,72
6,417
6,417
2,692
23,120
13,253
12,283
2,692
17,195
18,181
35,44
22,107
22,107
11,288
2,692
23,120
8,371
5,443
14,245
5,443
12,283
8,371
12,283
2,692
28,73
22,107
10,319
11,288
6,417
33,60
21,127
20,157
33,60
7,350
54,13
25,88
27,87
8,371
21,127
23,120
31,72
47,17
9,354
29,85
13,253
24,107
6,417
3,524
17,195
2,692
11,288
9,354
32,54
2,692
20,157
10,319
6,417
7,350
55,10
4,454
5,443
1,773
21,127
9,354
767,1
23,120
43,28
1,773
21,127
12,283
14,245
2,692
29,85
29,85
1,773
48,12
10,319
6,417
10,319
3,524
41,25
3,524
10,319
13,253
27,87
12,283
4,454
18,181
16,194
2,692
95,3
14,245
1,773
11,288
8,371
2,692
1,773
6,417
12,283
42,37
1714,1
14,245
35,44
10,319
37,27
35,44
1,773
9,354
3,524
11,288
29,85
25,88
5,443
9,354
20,157
14,245
38,39
18,181
2,692
2,692
14,245
17,195
18,181
67,7
19,150
97,1
1,773
2,692
13,253
52,13
4,454
8,371
15,188
7,350
42,37
5,443
20,157
13,253
16,194
14,245
1,773
2,692
17,195
32,54
3,524
44,21
7,350
24,107
9,354
29,85
17,195
13,253
2,692
3,524
1,773
4,454
4,454
8,371
1,773
2,692
17,195
7,350
6,417
14,245
13,253
1,773
30,61
43,28
3,524
13,253
8,371
31,72
148,1
2,692
1,773
42,37
55,10
1,773
219,1
16,194
2,692
42,37
1,773
10,319
1,773
3,524
4,454
13,253
8,371
9,354
2,692
12,283
9,354
7,350
42,37
7,350
5,443
3,524
13,253
1,773
11,288
12,283
3,524
6,417
10,319
7,350
5,443
4,454
21,127
4,454
4,454
8,371
3,524
18,181
434,1
1,773
5,443
6,417
11,288
6,417
33,60
19,150
13,253
7,350
4,454
10,319
3,524
5,443
4,454
5,443
28,73
1,773
14,245
4,454
10,319
5,443
22,107
11,288
3,524
4,454
23,120
9,354
13,253
11,288
7,350
34,49
12,283
51,19
6,417
2,692
5,443
2,692
1,773
31,72
1,773
2,692
3,524
52,13
38,39
12,283
36,46
14,245
39,26
12,283
110,1
7,350
1,773
22,107
5,443
6,417
4,454
6,417
17,195
17,195
8,371
2,692
6,417
4,454
53,11
14,245
4,454
23,120
9,354
22,107
21,127
12,283
12,283
5,443
12,283
10,319
14,245
9,354
25,88
16,194
10,319
2,692
29,85
27,87
1,773
10,319
5,443
11,288
19,150
3,524
8,371
4,454
6,417
1,773
4,454
19,150
4,454
6,417
5,443
9,354
2,692
10,319
3,524
28,73
4,454
17,195
4,454
13,253
44,21
19,150
32,54
22,107
12,283
1,773
7,350
3,524
12,283
1,773
8,371
6,417
1,773
10,319
3,524
44,21
22,107
13,253
8,371
2,692
1,773
2,692
1,773
1,773
14,245
21,127
2,692
18,181
4,454
1,773
18,181
7,350
7,350
31,72
47,17
12,283
10,319
20,157
10,319
11,288
38,39
14,245
28,73
10,319
38,39
6,417
20,157
2,692
11,288
16,194
8,371
7,350
15,188
13,253
1,773
11,288
9,354
4,454
3,524
8,371
5,443
8,371
15,188
11,288
6,417
3,524
8,371
14,245
12,283
2,692
24,107
61,2
2,692
18,181
4,454
5,443
5,443
1,773
1,773
15,188
1,773
3,524
18,181
6,417
20,157
7,350
24,107
12,283
6,417
7,350
5,443
7,350
9,354
7,350
9,354
5,443
26,82
14,245
1,773
32,54
6,417
13,253
1,773
7,350
35,44
5,443
14,245
1,773
2,692
49,14
5,443
7,350
1,773
10,319
6,417
6,417
8,371
2,692
20,157
2,692
14,245
28,73
14,245
25,88
20,157
15,188
5,443
4,454
1,773
20,157
10,319
27,87
8,371
29,85
14,245
24,107
13,253
11,288
2,692
12,283
1,773
15,188
2,692
14,245
26,82
20,157
65,3
13,253
34,49
45,30
26,82
16,194
19,150
19,150
16,194
4,454
10,319
3,524
4,454
21,127
6,417
8,371
6,417
6,417
2,692
22,107
10,319
12,283
9,354
4,454
32,54
42,37
21,127
29,85
2,692
29,85
12,283
8,371
2,692
8,371
7,350
29,85
7,350
11,288
5,443
14,245
15,188
5,443
10,319
11,288
26,82
10,319
3,524
16,194
20,157
16,194
1,773
13,253
27,87
9,354
28,73
30,61
21,127
21,127
13,253
11,288
7,350
8,371
1,773
20,157
8,371
10,319
17,195
99,1
1,773
34,49
28,73
11,288
19,150
1,773
13,253
29,85
7,350
3,524
5,443
11,288
32,54
1,773
1,773
1,773
9,354
5,443
1,773
1,773
1,773
19,150
8,371
2,692
5,443
1,773
2,692
33,60
17,195
23,120
37,27
25,88
3,524
3,524
3,524
6,417
3,524
1,773
5,443
3,524
11,288
3,524
3,524
28,73
28,73
10,319
5,443
3,524
3,524
11,288
9,354
18,181
12,283
8,371
3,524
3,524
6,417
2,692
15,188
1,773
1,773
1,773
9,354
21,127
12,283
12,283
10,319
10,319
1,773
1,773
3,524
1,773
3,524
3,524
3,524
4,454
3,524
12,283
2,692
2,692
2,692
3,524
9,354
4,454
9,354
3,524
2,692
58,4
2,692
17,195
12,283
14,245
24,107
17,195
18,181
4,454
6,417
17,195
1,773
11,288
3,524
25,88
2,692
16,194
4,454
34,49
1,773
2,692
13,253
21,127
29,85
16,194
12,283
1,773
7,350
7,350
252,1
2,692
38,39
14,245
17,195
18,181
5,443
3,524
5,443
9,354
1,773
4,454
13,253
1,773
17,195
3,524
9,354
7,350
13,253
7,350
3,524
15,188
7,350
4,454
20,157
4,454
8,371
16,194
45,30
17,195
1,773
20,157
57,10
1,773
3,524
1,773
6,417
29,85
13,253
9,354
5,443
9,354
5,443
16,194
29,85
3,524
19,150
20,157
3,524
11,288
21,127
26,82
29,85
14,245
21,127
1,773
24,107
23,120
15,188
15,188
13,253
29,85
7,350
27,87
2,692
32,54
22,107
23,120
15,188
2,692
20,157
14,245
8,371
34,49
1,773
27,87
44,21
3,524
18,181
30,61
21,127
1,773
3,524
9,354
21,127
16,194
27,87
15,188
24,107
13,253
13,253
15,188
10,319
3,524
3,524
1,773
12,283
9,354
10,319
5,443
2,692
2,692
1,773
3,524
28,73
21,127
13,253
18,181
25,88
4,454
16,194
44,21
1,773
4,454
11,288
52,13
2,692
2,692
7,350
10,319
18,181
1,773
15,188
10,319
5,443
31,72
4,454
27,87
10,319
7,350
5,443
6,417
7,350
1,773
10,319
3,524
3,524
12,283
16,194
1,773
1,773
9,354
24,107
54,13
2,692
3,524
16,194
3,524
4,454
4,454
2,692
6,417
23,120
14,245
1,773
9,354
1,773
17,195
6,417
9,354
24,107
6,417
6,417
39,26
42,37
18,181
10,319
14,245
23,120
6,417
6,417
20,157
38,39
14,245
1,773
5,443
42,37
20,157
18,181
22,107
13,253
7,350
31,72
11,288
8,371
2,692
1,773
34,49
6,417
23,120
2,692
18,181
15,188
11,288
1,773
21,127
4,454
24,107
6,417
10,319
9,354
15,188
19,150
4,454
25,88
1,773
1,773
1,773
21,127
18,181
