android,swing,java,javascript
-202.10064872338398,-273.73953712515737,-197.35200393471388,-98.55503341971328
-237.14445976482733,-306.2466931245974,-209.64000464203613,-93.24350140885784
-209.95552662249662,-264.2980096912393,-172.05237513158173,-132.50812722888384
-221.75026956274993,-278.41055959475307,-273.01991577823986,-174.66693099043465
-186.77925647140395,-223.15667575963283,-280.56950192026017,-120.88740491089493
-190.68317295281742,-246.42258605425164,-313.00629695500254,-96.39634474483292
-225.36901392379218,-316.10476099106205,-187.6890857909804,-88.5866175065428
-217.8559218963826,-320.2648310563061,-304.5341664581034,-76.43504563022522
-239.6744106943683,-312.020639744061,-248.36722024328515,-121.90778226834479
-180.5863904812646,-252.69512641120664,-365.3451324171001,-208.46623185614763
-190.77253013136433,-294.64579083911195,-231.5125888646272,-95.70762640107155
-224.23275218776982,-273.01136490790867,-219.90961597832643,-158.8008814524647
-214.21649818827012,-272.7000606499747,-263.03096288329283,-106.30015948666129
-213.65777674806833,-266.8354446948856,-376.8903867197408,-116.51618658294903
-250.01885105696093,-260.70030017573094,-217.89493196664907,-123.57543203737126
-244.89347770758715,-218.1534725085533,-276.2873489353152,-104.81898897123433
-213.23548735734892,-249.0975124103045,-345.3959759146989,-138.29371561446186
-210.00010558299581,-303.86845799236556,-250.6175642650659,-126.46261927827314
-158.4433884706162,-249.10428515851737,-246.06429552602856,-129.58371687863797
-225.85021974911336,-286.77022879281105,-322.0970205013949,-101.81551788797697
-172.44364764820085,-299.0175634651386,-238.21514242061355,-138.29223012817124
-157.91225807888796,-274.73861577609966,-329.5362284013523,-140.2207080566317
-170.23211457793064,-244.36466987759934,-265.62518250048845,-116.7979557665998
-172.2561217002546,-274.26937981537867,-132.2755315216596,-132.22442707755593
-180.9200768774402,-240.32400017667626,-320.7083256445081,-99.54497587699228
-228.93682900239972,-327.47388386066694,-262.6400587758172,-142.99725559344841
-193.6998850134259,-154.44584433988112,-303.30891962214173,-122.29009755505483
-167.69926531384846,-257.8037068905633,-249.00551384495932,-90.13044449342935
-176.1174614367788,-259.13547516079774,-221.68965743480877,-131.67435131477802
-196.11404079902917,-268.35580196473444,-248.42373722770074,-150.14741222814004
-193.1711383265691,-260.51735534528456,-335.2574562934429,-159.2424165300451
-211.19693052847734,-238.7342641704993,-139.08777795848275,-132.80549828654918
-235.50060554205336,-243.16605031372873,-279.02071659057214,-202.1633123095083
-235.5503077388335,-249.13871440079683,-340.979415436395,-118.39504886612339
,-251.57116966766708,-310.2741692347402,-108.58798486932449
,-239.86339372758098,-153.30727748711797,-142.3369838707007
,-242.06648282576722,-262.70528014772975,-130.340072165187
,-309.3692640212534,-252.9206727912384,-117.1478323209579
,-275.70049052016594,-301.49228854613517,-125.86207675260178
,-209.75687645801597,-250.017897386117,-135.24216576270834
,-223.95360043588775,-291.1389307922748,-145.1652566064092
,-273.7096241356613,-277.35793416397127,-145.54017932107138
,-279.6856163536313,-245.73017897936867,-84.17482727136917
,-395.83305244796554,-235.62725676031036,-119.7977605464362
,-238.8017111416398,-201.85048183916564,-153.67208877991104
,-201.56273676978552,-292.4889259397674,-146.99910834285518
,-253.2106729650039,-321.2222115928658,-129.69441642444326
,-189.80805646310785,-258.7244606494752,-184.9187796460468
,-241.58492495228208,-347.52738680080074,-95.19255872286024
,,-278.8552491477773,-122.87710501954831
,,-351.39219679181355,-112.45111534051996
,,-265.7934654184552,-164.15569434005462
,,-286.54558500777995,-95.31611654663229
,,-341.23622837039085,-151.4167241251204
,,-237.83027794834547,-134.14016374061478
,,-290.07945151853727,-73.95075521735973
,,-232.73866842663872,-139.65933337604469
,,-161.54616210308382,-91.9564901569629
,,-277.58829827858335,-112.59789382289762
,,,-161.1014557829233
,,,-71.9826749373271
,,,-136.7833968106788
,,,-176.8064282802255
,,,-136.79847990512422
,,,-98.55649849817118
,,,-103.51512309056768
,,,-141.66943410469963
,,,-123.544086946165
,,,-100.52658798235186
,,,-87.2090547918167
,,,-200.19603715963927
,,,-118.76466550277794
